,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File FERT/3: Crude birth rate by region, subregion and country, 1950-2100 (births per 1,000 population)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/FERT/F03,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Crude birth rate (births per 1,000 population)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
51,Estimates,Tunisia,,788,45.5,45.5,45.2,43.2,39.1,36.5,33.1,29.0,22.9,18.7,16.6,17.0,19.1
52,Estimates,Western Sahara,,732,48.3,50.7,52.0,50.0,44.4,44.1,39.9,35.2,31.4,27.2,23.9,21.9,22.2
53,Estimates,Southern Africa,,913,42.1,41.2,40.2,38.9,38.3,37.0,35.2,31.9,28.2,26.0,24.5,23.6,22.8
54,Estimates,Botswana,,72,47.0,47.4,46.9,46.3,45.6,45.0,42.6,36.0,31.9,29.1,26.4,25.3,25.1
55,Estimates,Lesotho,,426,42.1,42.2,42.3,42.6,42.8,42.1,40.0,36.9,34.3,33.3,30.1,28.4,28.7
56,Estimates,Namibia,,516,43.4,42.7,42.3,42.4,44.2,43.8,41.3,39.2,36.9,33.3,30.5,29.5,30.4
57,Estimates,South Africa,,710,41.8,40.7,39.7,38.1,37.4,36.0,34.2,31.0,27.3,25.0,23.8,22.9,22.0
58,Estimates,Swaziland,,748,48.1,47.6,47.9,49.0,49.3,48.5,47.4,45.2,39.5,34.3,32.3,32.1,30.2
59,Estimates,Western Africa,3,914,47.4,47.6,47.7,47.4,47.9,47.9,47.0,45.4,44.1,43.3,42.6,41.4,39.8
60,Estimates,Benin,,204,40.8,43.1,45.3,46.5,47.0,47.3,47.2,46.6,45.3,43.4,41.5,40.0,38.4
61,Estimates,Burkina Faso,,854,47.2,47.4,47.2,47.5,47.5,48.8,49.0,47.8,47.1,46.7,45.6,43.7,40.8
62,Estimates,Cabo Verde,,132,48.7,48.4,47.0,43.2,40.6,40.6,42.0,42.1,37.2,31.6,27.2,24.3,21.8
63,Estimates,Côte d'Ivoire,,384,56.6,56.2,54.6,53.1,51.8,50.5,47.0,44.3,42.5,41.6,40.1,38.7,37.7
64,Estimates,Gambia,,270,43.6,48.2,49.7,49.8,50.9,51.6,50.0,48.2,46.9,45.7,44.7,42.9,41.2
65,Estimates,Ghana,,288,44.7,46.1,47.3,47.3,45.9,44.0,42.3,40.1,37.7,36.4,34.6,33.7,32.7
66,Estimates,Guinea,,324,47.1,46.5,45.6,45.0,45.8,46.9,47.4,47.0,45.8,43.8,41.8,39.7,37.5
67,Estimates,Guinea-Bissau,,624,46.0,43.2,42.0,42.3,43.6,46.5,49.9,47.5,45.1,42.3,40.7,39.8,38.4
68,Estimates,Liberia,,430,47.0,48.6,49.2,49.0,49.2,49.0,48.5,46.7,44.1,43.5,41.6,38.6,35.8
69,Estimates,Mali,,466,51.7,50.5,50.1,50.3,50.4,49.9,49.4,48.7,48.9,48.7,48.7,47.7,44.7
70,Estimates,Mauritania,,478,48.7,49.8,48.4,46.8,45.4,43.9,42.6,41.5,40.3,39.1,37.8,36.7,35.5
71,Estimates,Niger,,562,57.2,57.8,58.3,57.6,56.4,56.4,56.8,55.9,55.2,54.2,52.7,50.9,49.2
72,Estimates,Nigeria,,566,46.1,46.3,46.2,45.8,46.9,47.2,46.4,44.9,43.7,43.3,43.0,41.9,40.5
73,Estimates,Senegal,,686,51.1,50.5,50.3,50.1,49.9,48.7,47.7,44.4,42.0,40.1,38.8,38.5,37.6
74,Estimates,Sierra Leone,,694,46.7,46.5,47.9,48.6,48.7,48.1,47.8,47.0,46.7,46.0,44.6,41.8,37.3
75,Estimates,Togo,,768,47.5,47.3,47.7,48.1,48.3,47.7,46.1,44.0,40.8,39.3,39.6,38.4,35.8
76,Estimates,ASIA,,935,41.8,39.2,40.0,38.7,34.7,30.0,29.0,28.7,24.4,21.2,19.7,18.8,17.7
77,Estimates,Eastern Asia,,906,39.5,34.3,37.1,36.5,29.9,21.7,20.7,23.1,17.1,13.2,12.2,12.1,12.2
78,Estimates,China,4,156,42.0,36.0,39.9,39.3,31.4,22.4,21.6,24.9,17.9,13.5,12.5,12.6,12.6
79,Estimates,"China, Hong Kong SAR",5,344,39.1,36.2,33.1,21.7,19.1,17.0,15.3,13.2,12.4,10.0,8.4,9.0,10.5
80,Estimates,"China, Macao SAR",6,446,36.5,34.4,25.2,14.2,10.7,10.9,21.2,22.1,15.1,11.0,7.5,8.5,11.3
81,Estimates,"China, Taiwan Province of China",,158,46.2,41.6,35.3,28.6,25.0,24.6,21.0,16.4,15.6,14.1,10.9,8.5,8.7
82,Estimates,Dem. People's Republic of Korea,,408,25.3,40.2,32.5,38.6,32.6,20.8,21.7,20.5,20.7,19.0,16.8,14.8,14.0
83,Estimates,Japan,,392,23.6,18.2,17.5,17.9,18.9,15.1,12.8,11.1,9.8,9.4,8.9,8.7,8.4
84,Estimates,Mongolia,,496,40.1,43.0,48.0,44.9,43.1,39.6,38.2,36.3,27.5,21.2,18.9,22.2,26.0
85,Estimates,Republic of Korea,,410,39.7,44.2,38.6,31.9,27.9,22.6,20.1,15.2,16.0,13.8,10.5,9.3,8.9
86,Estimates,South-Central Asia,7,921,43.8,43.4,42.5,40.8,39.4,37.9,37.0,34.5,31.1,28.2,25.7,23.7,21.3
87,Estimates,Central Asia,,5500,37.2,40.5,39.7,33.6,32.5,32.0,32.8,33.0,29.1,23.5,20.9,23.2,24.2
88,Estimates,Kazakhstan,,398,34.3,35.8,33.9,26.2,26.0,25.3,25.7,25.6,20.6,16.1,16.6,21.6,22.8
89,Estimates,Kyrgyzstan,,417,33.9,40.1,39.4,33.3,32.1,31.4,32.5,32.9,29.3,24.0,20.6,23.8,27.1
90,Estimates,Tajikistan,,762,42.7,47.9,47.9,43.6,41.5,39.7,42.0,42.8,37.4,32.7,28.5,29.5,30.2
91,Estimates,Turkmenistan,,795,40.1,44.8,45.0,39.5,37.1,36.9,35.9,36.7,33.0,25.0,23.4,23.4,27.0
92,Estimates,Uzbekistan,,860,39.4,43.2,43.5,38.5,36.3,35.8,36.3,36.0,32.7,25.6,21.3,22.4,22.2
93,Estimates,Southern Asia,,5501,44.0,43.5,42.6,41.1,39.7,38.2,37.2,34.6,31.1,28.4,25.8,23.7,21.2
94,Estimates,Afghanistan,,4,50.3,51.0,51.5,51.8,51.4,50.8,50.3,49.7,48.7,49.1,46.8,42.4,36.2
95,Estimates,Bangladesh,,50,46.2,48.5,49.1,48.5,46.9,44.7,42.2,37.8,33.0,29.3,26.0,22.5,20.2
96,Estimates,Bhutan,,64,48.0,49.4,49.9,49.8,48.2,45.9,43.0,41.7,35.9,31.1,25.3,22.1,19.3
97,Estimates,India,,356,43.6,42.6,41.5,39.8,38.4,36.6,35.5,33.0,30.0,27.6,25.3,22.9,20.0
98,Estimates,Iran (Islamic Republic of),,364,50.7,49.0,46.4,43.5,41.3,42.7,44.6,38.2,28.1,20.9,17.9,18.1,18.2
99,Estimates,Maldives,,462,43.4,52.9,54.7,52.3,48.1,44.7,48.4,45.2,35.9,26.0,20.6,19.6,19.8
100,Estimates,Nepal,,524,47.9,45.9,44.1,43.2,42.5,42.2,41.2,39.6,37.2,34.3,29.7,25.2,20.9
101,Estimates,Pakistan,,586,42.2,43.8,44.3,43.7,42.6,42.3,42.1,42.0,38.2,34.3,30.3,30.3,29.7
102,Estimates,Sri Lanka,,144,37.6,38.5,35.2,32.6,28.8,27.8,25.8,21.9,19.8,18.5,18.6,18.4,16.4
103,Estimates,South-Eastern Asia,,920,43.7,44.3,42.7,40.2,37.2,34.2,31.8,28.5,25.7,22.6,21.5,20.3,19.3
104,Estimates,Brunei Darussalam,,96,49.1,47.2,42.6,37.0,36.6,33.4,30.7,29.9,28.3,24.0,19.2,16.6,16.7
105,Estimates,Cambodia,,116,49.0,47.3,46.0,44.1,42.1,40.7,50.6,46.2,38.0,30.7,26.5,26.3,24.5
