year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,25,25-29,230375,OK,West South Central,17722067,8,3.4725990233315244e-5,-10.26802215329229
1999,25,25-29,232622,OR,Pacific,17722067,17,7.307993225060398e-5,-9.523956753512863
1999,25,25-29,282219,SC,South Atlantic,17722067,2,7.086695084313955e-6,-11.857291463710542
1999,25,25-29,283190,KY,East South Central,17722067,2,7.062396271054769e-6,-11.860726148883854
1999,25,25-29,300851,LA,West South Central,17722067,2,6.647809048332896e-6,-11.9212232239986
1999,25,25-29,307028,AL,East South Central,17722067,6,1.9542191591646364e-5,-10.842934758394064
1999,25,25-29,320629,MN,West North Central,17722067,3,9.356608416581157e-6,-11.579427681794769
1999,25,25-29,326929,CO,Mountain,17722067,16,4.89402897876909e-5,-9.924909578682218
1999,25,25-29,339102,WI,East North Central,17722067,9,2.6540686872976272e-5,-10.53683164872532
1999,25,25-29,347652,MD,South Atlantic,17722067,50,1.4382198290244268e-4,-8.846934252994881
1999,25,25-29,365607,MO,West North Central,17722067,7,1.914624172950737e-5,-10.86340411593184
1999,25,25-29,371429,AZ,Mountain,17722067,24,6.461531005925762e-5,-9.64705917743394
1999,25,25-29,403057,WA,Pacific,17722067,29,7.195012119873864e-5,-9.53953744014672
1999,25,25-29,408164,TN,East South Central,17722067,5,1.224997795003969e-5,-11.309986420971917
1999,25,25-29,417385,IN,East North Central,17722067,12,2.8750434251350672e-5,-10.456857686440179
1999,25,25-29,455310,MA,New England,17722067,41,9.004853835848103e-5,-9.315161717917894
1999,25,25-29,504307,VA,South Atlantic,17722067,24,4.759005922979455e-5,-9.952886658247147
1999,25,25-29,548811,NJ,Middle Atlantic,17722067,24,4.3730901895187964e-5,-10.037455568576773
1999,25,25-29,613187,NC,South Atlantic,17722067,11,1.7939062635052603e-5,-10.92852995269577
1999,25,25-29,638268,GA,South Atlantic,17722067,11,1.7234139891080238e-5,-10.968618264022846
1999,25,25-29,667971,MI,East North Central,17722067,14,2.0958993728769663e-5,-10.772942708787493
1999,25,25-29,751195,OH,East North Central,17722067,9,1.1980910416070395e-5,-11.332195973500781
1999,25,25-29,760654,PA,Middle Atlantic,17722067,27,3.5495770744648685e-5,-10.246097002533475
